date,Boko Haram
2020-01-01,68
2020-02-01,82
2020-03-01,74
2020-04-01,100
2020-05-01,56
2020-06-01,52
2020-07-01,44
2020-08-01,43
2020-09-01,39
2020-10-01,37
2020-11-01,59
2020-12-01,96
2021-01-01,43
2021-02-01,47
2021-03-01,44
2021-04-01,56
2021-05-01,75
2021-06-01,69
2021-07-01,33
2021-08-01,42
2021-09-01,38
2021-10-01,42
2021-11-01,36
2021-12-01,28
2022-01-01,34
2022-02-01,32
2022-03-01,36
2022-04-01,32
2022-05-01,29
2022-06-01,33
2022-07-01,33
2022-08-01,31
2022-09-01,29
2022-10-01,28
2022-11-01,29
2022-12-01,29
2023-01-01,30
2023-02-01,31
2023-03-01,29
2023-04-01,25
2023-05-01,27
2023-06-01,24
2023-07-01,20
2023-08-01,24
2023-09-01,22
2023-10-01,29
2023-11-01,28
2023-12-01,23
2024-01-01,23
2024-02-01,23
2024-03-01,30
2024-04-01,30
2024-05-01,26
2024-06-01,25
2024-07-01,20
2024-08-01,20
2024-09-01,25
2024-10-01,24
2024-11-01,27
2024-12-01,22
2025-01-01,25
2025-02-01,31
2025-03-01,26
2025-04-01,26
2025-05-01,28
2025-06-01,28
2025-07-01,22
2025-08-01,31
2025-09-01,38
2025-10-01,58
