date,#Justice
2020-01-01,0
2020-02-01,10
2020-03-01,7
2020-04-01,8
2020-05-01,63
2020-06-01,96
2020-07-01,100
2020-08-01,43
2020-09-01,39
2020-10-01,27
2020-11-01,9
2020-12-01,18
2021-01-01,9
2021-02-01,11
2021-03-01,17
2021-04-01,18
2021-05-01,22
2021-06-01,8
2021-07-01,19
2021-08-01,9
2021-09-01,24
2021-10-01,15
2021-11-01,9
2021-12-01,15
2022-01-01,15
2022-02-01,16
2022-03-01,13
2022-04-01,18
2022-05-01,35
2022-06-01,23
2022-07-01,21
2022-08-01,8
2022-09-01,13
2022-10-01,11
2022-11-01,14
2022-12-01,0
2023-01-01,10
2023-02-01,8
2023-03-01,12
2023-04-01,7
2023-05-01,14
2023-06-01,16
2023-07-01,7
2023-08-01,0
2023-09-01,12
2023-10-01,8
2023-11-01,0
2023-12-01,0
2024-01-01,9
2024-02-01,9
2024-03-01,10
2024-04-01,8
2024-05-01,8
2024-06-01,10
2024-07-01,0
2024-08-01,19
2024-09-01,12
2024-10-01,11
2024-11-01,13
2024-12-01,17
2025-01-01,8
2025-02-01,0
2025-03-01,29
2025-04-01,19
2025-05-01,11
2025-06-01,11
2025-07-01,14
2025-08-01,24
2025-09-01,12
2025-10-01,87
