date,#MeToo
2020-01-01,44
2020-02-01,50
2020-03-01,61
2020-04-01,52
2020-05-01,55
2020-06-01,65
2020-07-01,61
2020-08-01,58
2020-09-01,61
2020-10-01,57
2020-11-01,53
2020-12-01,49
2021-01-01,50
2021-02-01,52
2021-03-01,50
2021-04-01,50
2021-05-01,50
2021-06-01,44
2021-07-01,49
2021-08-01,54
2021-09-01,61
2021-10-01,58
2021-11-01,62
2021-12-01,56
2022-01-01,50
2022-02-01,53
2022-03-01,59
2022-04-01,68
2022-05-01,87
2022-06-01,100
2022-07-01,71
2022-08-01,69
2022-09-01,69
2022-10-01,81
2022-11-01,64
2022-12-01,56
2023-01-01,52
2023-02-01,55
2023-03-01,57
2023-04-01,57
2023-05-01,70
2023-06-01,89
2023-07-01,68
2023-08-01,69
2023-09-01,83
2023-10-01,68
2023-11-01,68
2023-12-01,59
2024-01-01,52
2024-02-01,50
2024-03-01,53
2024-04-01,60
2024-05-01,60
2024-06-01,63
2024-07-01,59
2024-08-01,62
2024-09-01,68
2024-10-01,66
2024-11-01,55
2024-12-01,49
2025-01-01,42
2025-02-01,44
2025-03-01,45
2025-04-01,43
2025-05-01,48
2025-06-01,46
2025-07-01,40
2025-08-01,50
2025-09-01,66
2025-10-01,61
