hashtag,video_date,likes,views,shares,comments
HumanRights,2025-10-22,1523,9104,34,50
HumanRights,2025-04-26,285400,982500,45000,29500
HumanRights,2025-09-19,94200,285600,2409,2554
HumanRights,2024-11-07,292500,1400000,10200,841
HumanRights,2025-01-01,1500000,7300000,30700,8122
HumanRights,2025-03-10,3995,129600,1567,118
HumanRights,2025-10-01,113,32500,13,2959
HumanRights,2024-11-07,12400,350200,1233,57
HumanRights,2025-10-22,53,697,0,15
HumanRights,2025-06-24,3482,46200,100,967
HumanRights,2025-09-07,13700,106000,398,50
HumanRights,2025-11-06,259,2156,6,16
HumanRights,2025-10-07,612700,3400000,27700,5669
HumanRights,2025-07-23,125900,658700,8414,4186
HumanRights,2025-10-02,57300,244300,1992,250
HumanRights,2024-03-04,327600,2000000,36500,2452
HumanRights,2025-06-12,4272,26800,249,210
HumanRights,2025-10-18,115700,390300,1471,215
HumanRights,2022-08-17,65,3027,42,4
HumanRights,2025-09-02,1160,17800,73,1202
HumanRights,2024-12-27,11300,99700,833,1505
HumanRights,2025-11-07,1196,4155,264,52
HumanRights,2025-06-21,397,2073,10,8
HumanRights,2025-10-08,9599,169300,397,62
HumanRights,2025-09-15,145,1105,3,13
HumanRights,2025-11-05,169,1126,0,0
HumanRights,2025-06-15,424600,2400000,1086,867
HumanRights,2025-02-21,23800,319300,904,10
HumanRights,2025-10-13,1591,8757,28,6
HumanRights,2025-11-05,24400,79300,3472,896
HumanRights,2022-04-13,675,21800,80,44
HumanRights,2025-10-25,265900,1000000,6901,1571
HumanRights,2025-11-07,688,8221,49,23
HumanRights,2025-04-09,103900,481900,3971,720
HumanRights,2025-10-31,1868,14600,50,108
HumanRights,2025-10-24,202200,2400000,4906,12400
HumanRights,2025-11-04,5845,66300,810,353
HumanRights,2025-05-04,200900,742700,34600,35500
HumanRights,2025-11-07,410100,4600000,30000,11500
HumanRights,2025-04-02,1000000,3400000,33700,3198
HumanRights,2022-03-07,2229,128300,471,59
HumanRights,2025-02-17,15200,253300,1179,647
HumanRights,2025-10-28,4014,27600,76,298
HumanRights,2025-10-03,30400,224500,1087,819
HumanRights,2025-10-02,43700,274800,2190,1450
HumanRights,2025-09-11,54300,278700,4875,699
HumanRights,2025-01-25,142100,3200000,6022,6494
HumanRights,2024-11-07,8015,105400,397,65
HumanRights,2025-01-24,19600,158700,1930,255
HumanRights,2024-11-12,594,8445,9,177
HumanRights,2025-09-08,59400,1200000,4225,4381
HumanRights,2025-09-04,21500,179700,402,233
HumanRights,2025-03-10,448300,3000000,44100,9377
HumanRights,2025-10-30,4911,22300,860,541
HumanRights,2025-04-14,76000,314700,681,724
HumanRights,2025-11-07,562,6444,10,20
HumanRights,2025-11-07,6647,28100,674,115
HumanRights,2024-12-06,644400,4400000,16200,11100
HumanRights,2025-11-06,121,1389,12,44
HumanRights,2025-09-26,745,13800,5,25
HumanRights,2025-06-12,413800,1800000,7660,2690
HumanRights,2025-07-21,1100000,4300000,73200,23200
HumanRights,2025-03-25,5630,214200,190,2195
HumanRights,2025-11-04,35000,138700,5396,4571
HumanRights,2025-02-06,7293,56700,110,113
HumanRights,2025-06-02,9309,251200,130,9610
HumanRights,2024-05-09,2860,10900,332,81
HumanRights,2022-10-16,1971,30200,82,27
HumanRights,2025-06-29,29700,201400,1326,92
HumanRights,2025-11-07,19,211,0,4
HumanRights,2023-05-22,388,49600,81,0
HumanRights,2025-10-05,149600,616600,7447,1642
HumanRights,2025-05-29,468,5909,15,9
HumanRights,2024-01-16,69400,351400,1726,754
HumanRights,2022-07-24,528,15500,9,99
HumanRights,2023-04-01,9110,42400,294,209
HumanRights,2025-01-23,347800,1600000,6990,698
HumanRights,2025-09-29,9451,319400,299,253
HumanRights,2025-04-23,8648,74000,166,68
HumanRights,2025-10-31,268,1373,6,16
HumanRights,2025-06-11,994,9708,8,238
HumanRights,2025-05-05,360700,5300000,18400,6953
HumanRights,2025-06-07,64200,361600,2360,86
HumanRights,2025-06-12,5990,33200,55,22
HumanRights,2025-06-29,8713,174500,1573,851
HumanRights,2025-10-05,236400,1100000,1726,2343
HumanRights,2025-05-14,15300,61200,433,177
HumanRights,2025-11-07,213,1481,8,16
HumanRights,2025-06-07,9015,68700,739,34
HumanRights,2025-10-29,22900,127200,2715,2623
HumanRights,2025-08-05,13400,167500,211,186
HumanRights,2024-01-19,434,22500,50,20
HumanRights,2025-10-20,6528,30300,242,14
HumanRights,2025-07-05,76200,460500,8308,5475
HumanRights,2025-11-07,28400,115200,1043,1241
HumanRights,2025-11-05,46,988,1,2
HumanRights,2025-08-09,96900,991100,1340,6140
HumanRights,2025-11-07,267,2129,15,14
HumanRights,2025-02-17,1800000,12100000,118500,58000
HumanRights,2025-11-06,12900,231500,913,1054
HumanRights,2025-11-05,834,6979,80,20
HumanRights,2025-06-18,1336,9692,22,122
HumanRights,2025-11-07,154,1823,5,16
HumanRights,2025-09-26,549500,3600000,16200,4680
HumanRights,2025-09-29,3920,24500,94,166
HumanRights,2023-07-16,157200,1400000,2612,889
HumanRights,2025-10-21,1653,12900,16,139
HumanRights,2025-08-28,2200000,9700000,31300,4328
HumanRights,2025-07-03,16500,94200,437,167
HumanRights,2025-11-03,9,340,0,0
HumanRights,2025-06-12,160400,636100,3706,1336
HumanRights,2025-08-10,206800,2100000,11300,7115
HumanRights,2025-03-08,7662,46800,323,182
HumanRights,2025-09-22,3221,15700,27,2870
HumanRights,2025-04-06,43400,170000,1866,512
HumanRights,2021-03-20,961500,6300000,8755,5904
HumanRights,2023-07-30,222100,1400000,19300,3326
HumanRights,2025-11-08,111,575,14,24
HumanRights,2025-06-11,4000,31500,72,24
HumanRights,2025-08-20,35600,164000,3035,1015
HumanRights,2024-11-09,38900,339400,690,1753
HumanRights,2024-07-21,40500,290500,3843,3407
HumanRights,2025-10-28,104100,858400,16700,3704
HumanRights,2025-06-03,550600,3200000,33700,9017
HumanRights,2024-06-04,4252,367500,2953,134
HumanRights,2025-10-19,1072,21100,726,142
HumanRights,2022-07-31,160,2385,0,7
HumanRights,2025-05-23,2500000,11300000,88300,9621
HumanRights,2025-08-18,114500,439100,21000,2174
HumanRights,2025-10-26,2327,19500,109,255
HumanRights,2025-11-05,22000,125200,210,694
HumanRights,2025-10-30,16,361,38,12
HumanRights,2025-05-03,397500,7000000,57200,14200
HumanRights,2025-10-17,3073,135000,214,239
HumanRights,2025-10-28,2522,12500,127,56
HumanRights,2025-11-07,56,503,1,11
HumanRights,2025-04-25,34200,217700,598,223
HumanRights,2025-07-24,2200000,9100000,46800,7007
HumanRights,2024-07-24,30,1505,0,8
HumanRights,2025-05-27,461400,2000000,32800,9039
HumanRights,2025-10-01,13700,79100,627,148
HumanRights,2025-08-09,62700,311200,8633,1440
HumanRights,2025-11-07,1288,27000,271,113
HumanRights,2025-11-03,4386,27600,456,251
HumanRights,2025-08-01,1509,10500,139,14
HumanRights,2025-06-30,364,2771,5,8
HumanRights,2025-06-12,1700000,6500000,202200,8291
HumanRights,2025-09-21,1631,7315,99,78
HumanRights,2025-11-07,108,1468,1,26
HumanRights,2023-10-18,12300,79900,1460,324
HumanRights,2024-04-05,158700,452100,16200,9551
HumanRights,2025-10-10,7271,60900,346,799
HumanRights,2025-07-24,1259,6118,246,68
HumanRights,2024-11-11,15600,99000,313,651
HumanRights,2025-07-04,2067,10100,67,241
HumanRights,2023-02-22,66200,1600000,4144,1461
HumanRights,2022-12-10,61,1709,2,1
HumanRights,2025-10-06,110600,502500,2832,823
HumanRights,2025-01-30,214400,1200000,33500,4885
HumanRights,2025-08-04,6291,39700,59,100
HumanRights,2022-09-26,4183,86200,71,74
HumanRights,2025-08-13,30900,114300,735,85
HumanRights,2025-03-18,4213,33600,43,539
HumanRights,2025-09-15,110700,452400,1616,933
HumanRights,2025-09-20,25600,272000,682,151
HumanRights,2025-03-09,3545,25400,169,181
RefugeesWelcome,2025-11-07,20,135,0,2
RefugeesWelcome,2024-05-30,150,12800,15,51
RefugeesWelcome,2024-11-19,835,54200,217,61
RefugeesWelcome,2022-08-18,29,876,4,2
RefugeesWelcome,2025-11-06,240,5853,19,30
RefugeesWelcome,2025-05-29,63,628,1,12
RefugeesWelcome,2025-01-16,32,912,0,3
RefugeesWelcome,2025-01-17,181,9652,16,71
RefugeesWelcome,2025-01-16,324500,1500000,15400,20700
RefugeesWelcome,2025-05-13,10500,390400,3063,767
RefugeesWelcome,2025-01-19,94,1378,32,14
RefugeesWelcome,2025-10-05,901,46900,340,49
