hashtag,video_date,likes,views,shares,comments
UkraineConflict,2025-11-21,657,21600,21,52
UkraineConflict,2025-11-20,2243,47800,136,97
UkraineConflict,2025-11-24,40,399,46,4
UkraineConflict,2025-11-23,18000,249800,620,1067
UkraineConflict,2025-11-24,60,4564,3,6
UkraineConflict,2025-04-22,18100,282400,1445,117
UkraineConflict,2025-11-18,1242,21300,94,60
UkraineConflict,2025-11-23,20,389,1,6
UkraineConflict,2025-11-21,4791,223800,339,94
UkraineConflict,2025-11-23,204,8229,6,17
UkraineConflict,2025-11-24,21,487,0,1
UkraineConflict,2025-11-23,1554,10600,50,209
UkraineConflict,2025-10-08,2222,84900,197,270
UkraineConflict,2025-11-23,3726,105300,328,137
UkraineConflict,2025-11-04,854,58700,201,131
UkraineConflict,2025-10-22,30100,1700000,2930,1700
UkraineConflict,2025-11-24,235,4100,20,9
UkraineConflict,2025-11-24,35,2561,0,7
UkraineConflict,2025-11-23,58,829,0,2
UkraineConflict,2025-11-20,46,295,0,2
UkraineConflict,2025-11-20,148,21900,15,77
UkraineConflict,2025-11-24,141,3565,4,4
UkraineConflict,2025-11-24,12,777,0,0
UkraineConflict,2025-11-21,6,535,1,1
UkraineConflict,2025-11-21,26,346,1,3
UkraineConflict,2025-11-22,121,5966,0,15
UkraineConflict,2025-11-24,1,138,0,0
UkraineConflict,2025-11-20,1616,31900,57,163
UkraineConflict,2025-11-24,45,662,5,3
UkraineConflict,2025-11-22,8,272,0,2
UkraineConflict,2025-11-22,1907,140000,541,127
UkraineConflict,2025-11-13,76900,1800000,6671,10100
UkraineConflict,2025-09-17,44200,3800000,2686,1939
UkraineConflict,2025-11-23,65,1523,5,5
UkraineConflict,2025-11-24,388,3202,0,4
UkraineConflict,2025-11-21,635,47500,83,26
UkraineConflict,2025-11-22,2708,286400,102,209
UkraineConflict,2025-11-19,6,309,0,1
UkraineConflict,2025-11-23,25,370,1,9
UkraineConflict,2025-11-24,98,4437,5,5
UkraineConflict,2025-11-21,120,3103,9,10
